[32m[I 2023-04-03 11:46:26,361][0m A new study created in memory with name: Bth_Hyperparam_Tune[0m
Epoch	Bth_Error	Time
0	0.2254	190.77
1	0.0988	190.38
2	0.0811	190.63
3	0.0720	190.60
4	0.0645	190.58
5	0.0605	190.20
6	0.0560	190.08
7	0.0537	190.42
8	0.0519	190.13
9	0.0497	190.81
10	0.0479	190.12
11	0.0477	190.24
12	0.0460	190.37
13	0.0442	189.92
14	0.0441	189.79
15	0.0436	189.79
16	0.0432	189.92
17	0.0418	190.17
18	0.0412	190.13
19	0.0408	190.37
[32m[I 2023-04-03 19:16:24,049][0m Trial 6 finished with value: 0.0408284068107605 and parameters: {'optimizer': 'Adam', 'lr': 0.0009809536716742758, 'beta_1': 0.7903889042679744, 'beta_2': 0.8858835729701093, 'eps': 3.241897437566348e-08}. Best is trial 0 with value: 0.03800675645470619.[0m
Epoch	Bth_Error	Time
0	0.3105	192.25
1	0.1512	192.38
2	0.1017	192.24
3	0.0872	192.27
4	0.0813	191.62
5	0.0763	191.98
6	0.0730	192.32
7	0.0697	192.07
8	0.0673	191.95
[32m[I 2023-04-03 19:48:25,384][0m Trial 7 pruned. [0m
Epoch	Bth_Error	Time
0	0.3495	191.70
1	0.1005	191.50
2	0.0801	191.54
3	0.0740	191.61
4	0.0705	191.65
5	0.0681	191.85
6	0.0647	191.26
7	0.0616	190.92
8	0.0582	191.28
[32m[I 2023-04-03 20:20:20,136][0m Trial 8 pruned. [0m
Epoch	Bth_Error	Time
0	0.3863	191.94
1	0.3763	191.86
2	0.3641	192.23
3	0.3547	191.88
4	0.3423	192.05
5	0.3310	192.01
6	0.3241	191.96
7	0.3160	191.92
8	0.3056	192.28
[32m[I 2023-04-03 20:52:21,032][0m Trial 9 pruned. [0m
Epoch	Bth_Error	Time
0	0.2185	191.80
1	0.0975	192.19
2	0.0838	191.44
3	0.0743	192.01
4	0.0682	191.97
5	0.0613	191.78
6	0.0577	191.73
7	0.0546	191.61
8	0.0505	191.72
[32m[I 2023-04-03 21:24:19,823][0m Trial 10 pruned. [0m
Epoch	Bth_Error	Time
0	0.1751	191.57
1	0.0906	191.33
2	0.0764	191.71
3	0.0670	191.35
4	0.0604	191.11
5	0.0548	191.25
6	0.0517	191.09
7	0.0491	191.32
8	0.0461	191.00
9	0.0445	191.14
10	0.0426	190.96
11	0.0421	190.90
12	0.0417	190.81
13	0.0408	190.88
14	0.0408	190.99
15	0.0398	190.84
16	0.0396	190.80
17	0.0398	191.41
18	0.0392	191.03
19	0.0370	191.00
[32m[I 2023-04-03 22:28:02,697][0m Trial 11 finished with value: 0.03697064146399498 and parameters: {'optimizer': 'Adam', 'lr': 0.0002555300099801353, 'beta_1': 0.7595827694863458, 'beta_2': 0.9529971811411497, 'eps': 1.4334883028634801e-09}. Best is trial 11 with value: 0.03697064146399498.[0m
Epoch	Bth_Error	Time
0	0.2208	191.81
1	0.0970	191.57
2	0.0810	191.64
3	0.0708	191.49
4	0.0640	191.36
5	0.0583	191.27
6	0.0535	191.31
7	0.0510	191.32
8	0.0484	191.03
9	0.0465	191.44
10	0.0436	191.51
11	0.0431	191.56
12	0.0423	191.38
13	0.0407	191.36
14	0.0404	191.22
15	0.0399	191.57
16	0.0393	191.15
17	0.0381	191.41
18	0.0385	191.74
19	0.0375	191.31
[32m[I 2023-04-03 23:31:51,442][0m Trial 12 finished with value: 0.03746329993009567 and parameters: {'optimizer': 'Adam', 'lr': 0.00019191928363482678, 'beta_1': 0.7605376964238029, 'beta_2': 0.9509890666327752, 'eps': 9.418396049537732e-09}. Best is trial 11 with value: 0.03697064146399498.[0m
Epoch	Bth_Error	Time
0	0.2368	191.89
1	0.1013	192.48
2	0.0866	192.28
3	0.0784	192.38
4	0.0726	192.01
5	0.0697	192.01
6	0.0678	192.22
7	0.0634	192.19
8	0.0601	192.22
[32m[I 2023-04-04 00:03:53,491][0m Trial 13 pruned. [0m
Epoch	Bth_Error	Time
0	0.2852	192.06
1	0.1442	192.41
2	0.1004	192.36
3	0.0880	192.88
4	0.0819	192.88
5	0.0765	192.37
6	0.0734	192.63
7	0.0716	192.57
8	0.0694	192.55
[32m[I 2023-04-04 00:35:59,089][0m Trial 14 pruned. [0m
Epoch	Bth_Error	Time
0	0.1673	191.97
1	0.0892	191.48
2	0.0782	191.88
3	0.0741	191.93
4	0.0667	191.52
5	0.0616	191.88
6	0.0568	191.55
7	0.0531	191.48
8	0.0502	191.32
9	0.0479	191.38
10	0.0455	191.48
11	0.0453	191.15
12	0.0436	191.27
13	0.0428	191.28
14	0.0401	190.83
15	0.0409	191.58
16	0.0395	191.18
17	0.0388	191.16
18	0.0379	191.24
19	0.0369	191.11
[32m[I 2023-04-04 01:39:48,153][0m Trial 15 finished with value: 0.03693505749106407 and parameters: {'optimizer': 'Adam', 'lr': 0.00018611968441136834, 'beta_1': 0.8374913932633514, 'beta_2': 0.9943828568675185, 'eps': 1.1283974373863063e-09}. Best is trial 15 with value: 0.03693505749106407.[0m
Epoch	Bth_Error	Time
0	0.4382	192.43
1	0.4364	192.17
2	0.4334	192.11
3	0.4334	192.28
4	0.3606	191.99
5	0.2902	192.13
6	0.2448	192.19
7	0.2309	192.59
8	0.2236	192.45
[32m[I 2023-04-04 02:11:50,897][0m Trial 16 pruned. [0m
Epoch	Bth_Error	Time
0	0.1625	191.49
1	0.0876	191.12
2	0.0750	191.21
3	0.0672	191.30
4	0.0601	191.28
5	0.0551	191.23
6	0.0515	191.34
7	0.0494	191.17
8	0.0479	191.34
9	0.0473	191.15
10	0.0456	191.44
11	0.0452	191.19
12	0.0440	191.59
13	0.0438	191.17
14	0.0413	190.71
15	0.0415	190.93
16	0.0406	190.96
17	0.0414	190.75
18	0.0394	191.29
19	0.0393	191.32
[32m[I 2023-04-04 03:15:35,261][0m Trial 17 finished with value: 0.03931526467204094 and parameters: {'optimizer': 'Adam', 'lr': 0.00034330144877085935, 'beta_1': 0.8330122053507658, 'beta_2': 0.9234923365470498, 'eps': 1.0820012478240737e-09}. Best is trial 15 with value: 0.03693505749106407.[0m
Epoch	Bth_Error	Time
0	0.2210	191.63
1	0.0965	192.32
2	0.0853	192.28
3	0.0790	192.61
4	0.0716	192.55
5	0.0694	192.29
6	0.0664	191.73
7	0.0629	192.25
8	0.0615	192.30
[32m[I 2023-04-04 03:47:37,275][0m Trial 18 pruned. [0m
Epoch	Bth_Error	Time
0	0.1991	192.03
1	0.0986	191.90
2	0.0825	191.92
3	0.0733	191.94
4	0.0684	192.04
5	0.0620	191.79
6	0.0566	191.99
7	0.0537	191.82
8	0.0501	191.75
9	0.0479	191.60
10	0.0457	191.44
11	0.0441	191.38
12	0.0425	191.21
13	0.0413	191.42
14	0.0413	191.49
15	0.0394	191.69
16	0.0394	191.77
17	0.0377	191.80
18	0.0371	191.68
19	0.0369	191.81
[32m[I 2023-04-04 04:51:32,124][0m Trial 19 finished with value: 0.036907363682985306 and parameters: {'optimizer': 'Adam', 'lr': 0.00015861937048005625, 'beta_1': 0.6506368810006762, 'beta_2': 0.9214059845695857, 'eps': 5.180651681994741e-09}. Best is trial 19 with value: 0.036907363682985306.[0m
Epoch	Bth_Error	Time
0	0.4459	192.16
1	0.2484	192.33
2	0.1688	192.56
3	0.1164	192.88
4	0.0976	193.20
5	0.0893	193.65
6	0.0844	193.27
7	0.0803	193.30
8	0.0784	193.63
[32m[I 2023-04-04 05:23:42,294][0m Trial 20 pruned. [0m
Epoch	Bth_Error	Time
0	0.1828	193.22
1	0.1034	192.78
2	0.0834	192.61
3	0.0765	192.22
4	0.0696	192.13
5	0.0644	192.04
6	0.0594	192.03
7	0.0551	192.29
8	0.0519	192.12
[32m[I 2023-04-04 05:55:46,101][0m Trial 21 pruned. [0m
Epoch	Bth_Error	Time
0	0.1771	191.15
1	0.0879	191.50
2	0.0729	191.08
3	0.0684	191.56
4	0.0631	191.14
5	0.0584	191.15
6	0.0544	191.10
7	0.0523	191.25
8	0.0512	190.81
9	0.0482	190.79
10	0.0467	191.08
[32m[I 2023-04-04 06:33:59,674][0m Trial 22 pruned. [0m
Epoch	Bth_Error	Time
0	0.1745	191.97
1	0.0895	192.08
2	0.0779	192.27
3	0.0709	192.62
4	0.0644	192.14
5	0.0593	192.17
6	0.0558	192.02
7	0.0527	191.82
8	0.0493	192.25
9	0.0469	192.43
10	0.0450	192.11
11	0.0445	191.52
12	0.0425	191.67
13	0.0407	191.58
14	0.0407	191.52
15	0.0400	191.72
16	0.0387	191.49
17	0.0383	191.72
18	0.0375	191.88
19	0.0380	192.01
[32m[I 2023-04-04 07:37:59,039][0m Trial 23 finished with value: 0.038023922592401505 and parameters: {'optimizer': 'Adam', 'lr': 0.0001641996845855901, 'beta_1': 0.8383834275808497, 'beta_2': 0.9591821305978616, 'eps': 1.7452661506804186e-09}. Best is trial 19 with value: 0.036907363682985306.[0m
Epoch	Bth_Error	Time
0	0.2989	191.99
1	0.1255	192.36
2	0.0937	192.50
3	0.0844	192.72
4	0.0791	192.54
5	0.0731	192.39
6	0.0697	192.48
7	0.0667	192.33
8	0.0641	192.11
[32m[I 2023-04-04 08:10:03,355][0m Trial 24 pruned. [0m
Epoch	Bth_Error	Time
0	0.2767	191.34
1	0.1670	190.70
2	0.1245	190.79
3	0.1091	190.75
4	0.0946	190.69
5	0.0841	190.72
6	0.0742	190.34
7	0.0676	190.50
8	0.0623	190.44
[32m[I 2023-04-04 08:41:50,041][0m Trial 25 pruned. [0m
Epoch	Bth_Error	Time
0	0.2529	192.19
1	0.1001	191.81
2	0.0820	191.87
3	0.0704	191.77
4	0.0635	191.67
5	0.0583	191.75
6	0.0536	191.30
7	0.0514	191.29
8	0.0476	191.35
9	0.0461	191.52
10	0.0445	191.56
11	0.0436	191.41
12	0.0424	191.22
13	0.0413	191.16
14	0.0409	191.33
15	0.0399	191.35
16	0.0395	191.31
17	0.0390	191.12
18	0.0379	191.19
19	0.0381	191.19
[32m[I 2023-04-04 09:45:39,794][0m Trial 26 finished with value: 0.038110606372356415 and parameters: {'optimizer': 'Adam', 'lr': 0.00022232217265185237, 'beta_1': 0.6553871156507615, 'beta_2': 0.9430703224682243, 'eps': 2.2968602304610317e-08}. Best is trial 19 with value: 0.036907363682985306.[0m
Epoch	Bth_Error	Time
0	0.1801	192.28
1	0.0979	191.80
2	0.0838	192.04
3	0.0776	192.17
4	0.0722	192.04
5	0.0679	192.27
6	0.0628	191.99
7	0.0588	192.01
8	0.0548	191.93
[32m[I 2023-04-04 10:17:40,419][0m Trial 27 pruned. [0m
Epoch	Bth_Error	Time
0	0.2609	192.25
1	0.1149	192.74
2	0.0929	192.36
3	0.0854	192.04
4	0.0795	192.04
5	0.0749	191.65
6	0.0705	191.90
7	0.0690	192.18
8	0.0670	191.55
[32m[I 2023-04-04 10:49:41,115][0m Trial 28 pruned. [0m
Epoch	Bth_Error	Time
0	0.1778	191.16
1	0.0912	190.93
2	0.0760	191.01
3	0.0695	199.94
4	0.0624	203.15
5	0.0573	203.34
6	0.0538	203.25
7	0.0506	202.95
8	0.0487	203.30
9	0.0472	202.75
10	0.0462	202.84
11	0.0441	202.66
12	0.0439	202.36
13	0.0429	201.93
14	0.0420	202.21
15	0.0404	202.59
16	0.0400	202.17
17	0.0407	202.12
18	0.0399	202.27
[32m[I 2023-04-04 11:56:36,636][0m Trial 29 pruned. [0m
Epoch	Bth_Error	Time
0	0.2199	202.92
1	0.1157	202.33
2	0.0805	202.16
3	0.0699	206.95
4	0.0632	213.32
5	0.0578	213.52
6	0.0540	213.25
7	0.0517	212.83
8	0.0498	213.09
[32m[I 2023-04-04 12:31:23,045][0m Trial 30 pruned. [0m
Epoch	Bth_Error	Time
0	0.2336	210.60
1	0.0959	214.43
2	0.0800	214.22
3	0.0707	214.11
4	0.0635	210.82
5	0.0572	214.14
6	0.0542	214.52
7	0.0499	214.43
8	0.0479	210.17
9	0.0467	203.17
10	0.0442	203.89
11	0.0430	204.15
12	0.0423	203.86
13	0.0408	203.72
14	0.0404	203.06
15	0.0397	203.31
16	0.0384	203.67
17	0.0371	203.78
18	0.0374	203.52
19	0.0370	203.59
[32m[I 2023-04-04 13:40:40,679][0m Trial 31 finished with value: 0.03699496015906334 and parameters: {'optimizer': 'Adam', 'lr': 0.0001916290020478121, 'beta_1': 0.7542005843076929, 'beta_2': 0.9517345318458362, 'eps': 1.0887450789502504e-08}. Best is trial 19 with value: 0.036907363682985306.[0m
Epoch	Bth_Error	Time
0	0.2553	204.12
1	0.0991	203.99
2	0.0796	203.85
3	0.0722	203.49
4	0.0648	204.19
5	0.0579	196.85
6	0.0533	191.15
7	0.0503	190.85
8	0.0482	190.65
9	0.0464	190.50
10	0.0445	190.88
11	0.0430	190.04
12	0.0422	190.67
13	0.0420	190.28
14	0.0406	190.45
15	0.0404	190.09
16	0.0397	190.28
17	0.0387	190.56
18	0.0385	189.97
[32m[I 2023-04-04 14:45:23,745][0m Trial 32 pruned. [0m
Epoch	Bth_Error	Time
0	0.2176	190.96
1	0.0996	190.69
2	0.0825	190.63
3	0.0763	190.89
4	0.0694	191.09
5	0.0652	190.41
6	0.0604	190.59
7	0.0557	190.53
8	0.0531	190.58
[32m[I 2023-04-04 15:17:10,917][0m Trial 33 pruned. [0m
Epoch	Bth_Error	Time
0	0.1941	190.04
1	0.0965	189.95
2	0.0799	189.70
3	0.0713	189.73
4	0.0636	190.18
5	0.0568	189.84
6	0.0527	191.76
7	0.0507	202.78
8	0.0477	202.77
9	0.0459	203.22
10	0.0443	203.12
11	0.0431	203.32
12	0.0425	203.93
13	0.0418	203.52
14	0.0411	204.30
15	0.0403	204.60
16	0.0393	204.49
17	0.0381	204.28
18	0.0379	204.99
19	0.0374	204.81
[32m[I 2023-04-04 16:23:32,701][0m Trial 34 finished with value: 0.03741884231567383 and parameters: {'optimizer': 'Adam', 'lr': 0.0002580910477224733, 'beta_1': 0.6773651477923882, 'beta_2': 0.9727908648306444, 'eps': 9.800781509693008e-09}. Best is trial 19 with value: 0.036907363682985306.[0m
Epoch	Bth_Error	Time
0	0.2824	204.89
1	0.2732	204.61
2	0.2723	205.12
3	0.2727	205.88
4	0.2725	205.28
5	0.2725	205.53
6	0.2733	204.94
7	0.2727	205.10
8	0.2734	205.25
[32m[I 2023-04-04 16:57:44,929][0m Trial 35 pruned. [0m
Epoch	Bth_Error	Time
0	0.1954	205.79
1	0.1038	205.61
2	0.0859	205.83
3	0.0774	205.54
4	0.0694	205.98
5	0.0637	205.93
6	0.0585	206.12
7	0.0552	206.00
8	0.0526	206.06
[32m[I 2023-04-04 17:31:57,385][0m Trial 36 pruned. [0m
Epoch	Bth_Error	Time
0	0.2048	190.66
1	0.0951	190.25
2	0.0789	190.16
3	0.0725	190.23
4	0.0662	189.96
5	0.0615	189.77
6	0.0571	189.66
7	0.0546	189.70
8	0.0521	189.83
[32m[I 2023-04-04 18:03:37,558][0m Trial 37 pruned. [0m
Epoch	Bth_Error	Time
0	0.3404	191.22
1	0.1582	191.75
2	0.1141	191.46
3	0.0951	191.88
4	0.0877	191.84
5	0.0836	191.50
6	0.0785	191.93
7	0.0756	191.85
8	0.0739	191.75
[32m[I 2023-04-04 18:35:34,879][0m Trial 38 pruned. [0m
Epoch	Bth_Error	Time
0	0.2398	191.04
1	0.0966	190.48
2	0.0758	190.49
3	0.0672	190.47
4	0.0603	190.67
5	0.0558	190.47
6	0.0519	190.29
7	0.0495	190.17
8	0.0478	190.51
9	0.0459	190.15
10	0.0454	189.91
[32m[I 2023-04-04 19:13:39,808][0m Trial 39 pruned. [0m
Epoch	Bth_Error	Time
0	0.2860	189.55
1	0.2579	189.26
2	0.1214	190.10
3	0.0880	189.46
4	0.0786	189.51
5	0.0726	189.45
6	0.0680	189.20
7	0.0610	189.46
8	0.0572	189.43
[32m[I 2023-04-04 19:45:15,273][0m Trial 40 pruned. [0m
Epoch	Bth_Error	Time
0	0.1869	191.06
1	0.0937	190.51
2	0.0785	190.70
3	0.0694	190.76
4	0.0644	190.82
5	0.0574	190.34
6	0.0534	190.76
7	0.0499	190.52
8	0.0482	190.62
9	0.0462	190.50
10	0.0437	190.00
11	0.0430	190.29
12	0.0420	190.41
13	0.0410	190.33
14	0.0405	189.89
15	0.0402	190.44
16	0.0388	189.95
17	0.0384	189.97
18	0.0380	190.29
19	0.0381	189.76
[32m[I 2023-04-04 20:48:43,663][0m Trial 41 finished with value: 0.038058195263147354 and parameters: {'optimizer': 'Adam', 'lr': 0.0002498164747507814, 'beta_1': 0.6789300982901056, 'beta_2': 0.9684500131229775, 'eps': 8.7474388946478e-09}. Best is trial 19 with value: 0.036907363682985306.[0m
Epoch	Bth_Error	Time
0	0.1901	190.37
1	0.0934	189.93
2	0.0788	189.71
3	0.0699	189.93
4	0.0625	189.97
5	0.0565	189.80
6	0.0539	189.71
7	0.0508	189.84
8	0.0481	189.56
9	0.0462	189.96
10	0.0445	189.95
11	0.0443	190.11
12	0.0432	189.91
[32m[I 2023-04-04 21:33:02,439][0m Trial 42 pruned. [0m
Epoch	Bth_Error	Time
0	0.2661	191.70
1	0.1044	191.47
2	0.0840	191.05
3	0.0738	191.22
4	0.0666	191.23
5	0.0605	191.00
6	0.0560	191.10
7	0.0520	191.13
8	0.0489	191.19
9	0.0472	190.90
10	0.0450	191.15
11	0.0437	191.57
12	0.0428	190.99
13	0.0417	190.77
14	0.0404	190.80
15	0.0396	190.45
16	0.0387	190.81
17	0.0383	190.78
18	0.0380	190.72
19	0.0369	190.34
[32m[I 2023-04-04 22:36:43,235][0m Trial 43 finished with value: 0.03694425895810127 and parameters: {'optimizer': 'Adam', 'lr': 0.00015504111339733007, 'beta_1': 0.7145473683037671, 'beta_2': 0.8456638507869374, 'eps': 1.5476972389355682e-08}. Best is trial 19 with value: 0.036907363682985306.[0m
Epoch	Bth_Error	Time
0	0.2650	191.21
1	0.1060	190.78
2	0.0818	191.12
3	0.0752	191.05
4	0.0673	191.07
5	0.0607	191.36
6	0.0566	191.03
7	0.0516	191.19
8	0.0498	190.92
9	0.0470	191.20
10	0.0449	191.19
11	0.0427	190.67
12	0.0421	190.89
13	0.0409	190.72
14	0.0404	190.78
15	0.0392	191.09
16	0.0389	190.27
17	0.0390	190.82
18	0.0379	190.75
19	0.0368	191.00
[32m[I 2023-04-04 23:40:22,640][0m Trial 44 finished with value: 0.03675137087702751 and parameters: {'optimizer': 'Adam', 'lr': 0.00015226109872869536, 'beta_1': 0.7269928273673115, 'beta_2': 0.8270538401297101, 'eps': 1.7047882868450976e-08}. Best is trial 44 with value: 0.03675137087702751.[0m
Epoch	Bth_Error	Time
0	0.2911	191.67
1	0.1086	191.59
2	0.0859	191.75
3	0.0769	191.10
4	0.0713	191.28
5	0.0651	191.26
6	0.0596	191.43
7	0.0561	191.40
8	0.0536	191.44
[32m[I 2023-04-05 00:12:17,105][0m Trial 45 pruned. [0m
Epoch	Bth_Error	Time
0	0.3707	191.42
1	0.2875	191.52
2	0.1391	191.94
3	0.0906	191.80
4	0.0757	191.56
5	0.0701	191.41
6	0.0647	191.55
7	0.0600	191.42
8	0.0560	191.46
[32m[I 2023-04-05 00:44:12,559][0m Trial 46 pruned. [0m
Epoch	Bth_Error	Time
0	0.3962	191.90
1	0.2432	191.50
2	0.1099	192.06
3	0.0875	191.69
4	0.0805	191.60
5	0.0745	191.82
6	0.0703	192.09
7	0.0676	191.72
8	0.0645	191.59
[32m[I 2023-04-05 01:16:10,915][0m Trial 47 pruned. [0m
Epoch	Bth_Error	Time
0	0.3719	191.55
1	0.3001	192.20
2	0.1913	191.81
3	0.1019	192.06
4	0.0799	191.95
5	0.0719	191.44
6	0.0680	191.52
7	0.0642	191.56
8	0.0602	191.87
[32m[I 2023-04-05 01:48:08,836][0m Trial 48 pruned. [0m
Epoch	Bth_Error	Time
0	0.2065	190.98
1	0.0913	190.22
2	0.0745	190.77
3	0.0643	190.34
4	0.0584	190.66
5	0.0567	190.55
6	0.0530	190.13
7	0.0513	190.35
8	0.0506	190.24
[32m[I 2023-04-05 02:19:53,668][0m Trial 49 pruned. [0m
Study statistics: 
Number of finished trials:  50
Number of pruned trials:  31
Number of complete trials:  19
Best trial:
Value:  0.03675137087702751
Params: 
optimizer: Adam
lr: 0.00015226109872869536
beta_1: 0.7269928273673115
beta_2: 0.8270538401297101
eps: 1.7047882868450976e-08
