[32m[I 2022-10-23 20:56:59,060][0m A new study created in memory with name: Bg_Hyperparam_Tune[0m
Epoch	Bg_Error	Time
5	0.0248	145.16
6	0.0240	145.29
7	0.0218	145.10
8	0.0214	145.61
9	0.0203	145.43
10	0.0198	145.11
11	0.0193	145.04
12	0.0192	145.01
13	0.0179	145.57
14	0.0180	145.17
15	0.0178	145.07
16	0.0170	144.61
17	0.0173	144.91
18	0.0167	145.41
19	0.0165	144.93
[32m[I 2022-10-24 04:13:28,480][0m Trial 8 finished with value: 0.016512060537934303 and parameters: {'optimizer': 'Adam', 'lr': 0.0005545555760228039, 'beta_1': 0.7320925895927692, 'beta_2': 0.9373436684103784, 'eps': 1.0178751601926867e-09}. Best is trial 5 with value: 0.014334258623421192.[0m
Epoch	Bg_Error	Time
0	0.1237	146.12
1	0.0489	145.87
2	0.0379	146.32
3	0.0338	145.77
4	0.0305	145.70
5	0.0290	145.71
6	0.0273	145.52
7	0.0256	145.96
8	0.0241	145.85
9	0.0231	146.02
10	0.0227	146.03
11	0.0220	146.24
12	0.0209	145.86
13	0.0204	146.18
14	0.0200	145.81
15	0.0193	145.82
16	0.0189	145.97
17	0.0188	146.13
18	0.0184	145.74
19	0.0180	145.44
[32m[I 2022-10-24 05:02:06,718][0m Trial 9 finished with value: 0.017986970022320747 and parameters: {'optimizer': 'Adam', 'lr': 4.644107344510968e-05, 'beta_1': 0.6266003030363156, 'beta_2': 0.9202854261248824, 'eps': 1.6627235318096817e-08}. Best is trial 5 with value: 0.014334258623421192.[0m
Epoch	Bg_Error	Time
0	0.1102	145.88
1	0.0485	145.84
2	0.0376	145.12
3	0.0322	145.51
4	0.0306	145.51
5	0.0275	145.87
6	0.0268	145.78
7	0.0241	145.49
8	0.0225	145.39
9	0.0222	145.64
[32m[I 2022-10-24 05:28:48,451][0m Trial 10 pruned. [0m
Epoch	Bg_Error	Time
0	0.2114	146.14
1	0.0691	146.18
2	0.0494	146.10
3	0.0388	145.78
4	0.0330	146.48
5	0.0291	146.89
6	0.0274	146.23
7	0.0251	146.10
8	0.0241	146.09
9	0.0229	146.43
[32m[I 2022-10-24 05:55:36,957][0m Trial 11 pruned. [0m
Epoch	Bg_Error	Time
0	0.1084	145.35
1	0.0366	145.46
2	0.0282	145.57
3	0.0246	146.25
4	0.0236	145.88
5	0.0210	145.62
6	0.0200	146.35
7	0.0193	146.18
8	0.0177	145.98
9	0.0180	145.48
10	0.0169	145.56
11	0.0166	145.60
12	0.0160	145.33
13	0.0153	146.10
14	0.0151	146.71
15	0.0151	145.49
16	0.0147	145.49
17	0.0138	145.65
18	0.0141	145.54
19	0.0136	145.39
[32m[I 2022-10-24 06:44:12,214][0m Trial 12 finished with value: 0.013616370968520641 and parameters: {'optimizer': 'Adam', 'lr': 0.00018912464026458103, 'beta_1': 0.8959160218806521, 'beta_2': 0.8239383908845913, 'eps': 5.887217880353729e-09}. Best is trial 12 with value: 0.013616370968520641.[0m
Epoch	Bg_Error	Time
0	0.4551	144.44
1	0.3725	144.41
2	0.3731	144.44
3	0.3757	144.59
4	0.3733	144.06
5	0.3750	143.99
6	0.3716	144.16
7	0.3741	144.73
8	0.3736	144.37
9	0.3758	144.73
[32m[I 2022-10-24 07:10:40,530][0m Trial 13 pruned. [0m
Epoch	Bg_Error	Time
0	0.0972	145.70
1	0.0414	145.98
2	0.0325	145.69
3	0.0280	145.62
4	0.0256	145.69
5	0.0241	145.48
6	0.0226	145.57
7	0.0212	145.29
8	0.0201	145.58
9	0.0195	145.82
10	0.0185	145.76
11	0.0185	145.59
12	0.0178	145.40
13	0.0175	145.30
14	0.0171	145.69
15	0.0166	145.40
16	0.0163	145.78
17	0.0159	145.67
18	0.0160	145.46
19	0.0154	145.60
[32m[I 2022-10-24 07:59:12,851][0m Trial 14 finished with value: 0.015437208116054535 and parameters: {'optimizer': 'Adam', 'lr': 0.00025642307433801473, 'beta_1': 0.7630963029805387, 'beta_2': 0.8416458825073156, 'eps': 5.774267119595202e-09}. Best is trial 12 with value: 0.013616370968520641.[0m
Epoch	Bg_Error	Time
0	0.1008	146.34
1	0.0405	146.11
2	0.0331	145.97
3	0.0286	145.55
4	0.0253	146.13
5	0.0237	145.64
6	0.0220	145.40
7	0.0210	145.55
8	0.0201	145.70
9	0.0193	145.85
10	0.0187	145.51
11	0.0182	146.33
12	0.0178	145.48
13	0.0171	145.97
14	0.0167	145.85
15	0.0162	145.83
16	0.0161	145.05
17	0.0156	146.17
18	0.0158	146.40
19	0.0154	145.67
[32m[I 2022-10-24 08:47:49,560][0m Trial 15 finished with value: 0.015360433608293533 and parameters: {'optimizer': 'Adam', 'lr': 0.000134094357600927, 'beta_1': 0.7994221298715988, 'beta_2': 0.8422550084337924, 'eps': 1.543222817826297e-09}. Best is trial 12 with value: 0.013616370968520641.[0m
Epoch	Bg_Error	Time
0	0.0952	145.38
1	0.0379	145.50
2	0.0302	145.52
3	0.0259	144.92
4	0.0230	144.88
5	0.0228	145.41
6	0.0207	145.18
7	0.0196	145.03
8	0.0195	145.05
9	0.0180	145.07
10	0.0182	144.86
11	0.0175	145.23
12	0.0178	144.69
13	0.0171	145.46
14	0.0157	145.41
15	0.0165	145.34
16	0.0152	145.29
17	0.0153	144.80
18	0.0155	144.46
19	0.0153	144.85
[32m[I 2022-10-24 09:36:12,070][0m Trial 16 finished with value: 0.01532957423478365 and parameters: {'optimizer': 'Adam', 'lr': 0.0006348503819771914, 'beta_1': 0.8945476952018415, 'beta_2': 0.7915747555855945, 'eps': 6.960837114409939e-09}. Best is trial 12 with value: 0.013616370968520641.[0m
Epoch	Bg_Error	Time
0	0.1036	146.29
1	0.0437	146.01
2	0.0343	146.34
3	0.0303	146.37
4	0.0270	146.64
5	0.0253	145.95
6	0.0235	145.99
7	0.0227	145.98
8	0.0212	146.25
9	0.0205	146.06
10	0.0196	146.04
11	0.0190	146.24
12	0.0186	146.43
13	0.0181	146.76
14	0.0172	146.25
15	0.0168	146.64
16	0.0163	146.55
17	0.0163	145.79
18	0.0160	145.48
19	0.0154	146.32
[32m[I 2022-10-24 10:24:56,647][0m Trial 17 finished with value: 0.015429544262588024 and parameters: {'optimizer': 'Adam', 'lr': 0.0001003045390816964, 'beta_1': 0.71179359511739, 'beta_2': 0.961808613156505, 'eps': 2.4359841775758086e-08}. Best is trial 12 with value: 0.013616370968520641.[0m
Epoch	Bg_Error	Time
0	0.1134	145.98
1	0.0426	145.37
2	0.0339	145.23
3	0.0293	144.93
4	0.0266	145.45
5	0.0243	145.49
6	0.0232	145.17
7	0.0223	145.42
8	0.0215	144.68
9	0.0210	145.20
10	0.0198	145.57
11	0.0197	145.03
[32m[I 2022-10-24 10:56:25,352][0m Trial 18 pruned. [0m
Epoch	Bg_Error	Time
0	0.1277	146.22
1	0.0434	146.03
2	0.0338	146.43
3	0.0283	145.98
4	0.0270	146.47
5	0.0243	146.75
6	0.0227	146.87
7	0.0219	146.06
8	0.0208	146.17
9	0.0204	146.19
10	0.0194	146.06
11	0.0183	145.87
12	0.0186	145.69
13	0.0180	146.04
14	0.0175	146.00
15	0.0172	145.97
16	0.0166	146.50
17	0.0164	146.14
18	0.0162	145.87
19	0.0155	146.10
[32m[I 2022-10-24 11:45:09,064][0m Trial 19 finished with value: 0.015470613725483418 and parameters: {'optimizer': 'Adam', 'lr': 5.549273335851159e-05, 'beta_1': 0.8286110593963794, 'beta_2': 0.8044304476227211, 'eps': 4.2723577879807465e-09}. Best is trial 12 with value: 0.013616370968520641.[0m
Epoch	Bg_Error	Time
0	0.1062	146.03
1	0.0474	146.06
2	0.0375	146.12
3	0.0320	145.20
4	0.0292	145.67
5	0.0266	145.72
6	0.0249	145.77
7	0.0235	146.29
8	0.0223	145.76
9	0.0211	145.86
[32m[I 2022-10-24 12:11:54,078][0m Trial 20 pruned. [0m
Epoch	Bg_Error	Time
0	0.0943	146.15
1	0.0369	145.48
2	0.0302	145.33
3	0.0263	145.45
4	0.0243	145.65
5	0.0221	145.34
6	0.0209	145.38
7	0.0204	145.95
8	0.0191	145.05
9	0.0184	145.45
10	0.0183	145.71
11	0.0177	145.11
12	0.0169	145.92
13	0.0162	145.40
14	0.0161	145.63
15	0.0165	146.19
16	0.0158	145.53
17	0.0153	145.34
18	0.0155	145.10
19	0.0151	145.50
[32m[I 2022-10-24 13:00:25,002][0m Trial 21 finished with value: 0.01509814616292715 and parameters: {'optimizer': 'Adam', 'lr': 0.00046136741096136126, 'beta_1': 0.894053371786586, 'beta_2': 0.7524939828365236, 'eps': 7.646616984551136e-09}. Best is trial 12 with value: 0.013616370968520641.[0m
Epoch	Bg_Error	Time
0	0.1175	145.15
1	0.0379	144.88
2	0.0309	145.64
3	0.0266	145.79
4	0.0236	145.32
5	0.0220	145.39
6	0.0210	145.34
7	0.0201	145.70
8	0.0196	145.40
9	0.0191	145.51
10	0.0186	145.84
11	0.0178	145.07
12	0.0175	144.96
13	0.0173	145.60
14	0.0174	145.40
15	0.0169	146.25
16	0.0159	145.90
17	0.0157	146.09
18	0.0153	145.90
19	0.0161	145.20
[32m[I 2022-10-24 13:48:55,520][0m Trial 22 finished with value: 0.01613575965166092 and parameters: {'optimizer': 'Adam', 'lr': 0.0009109789402262995, 'beta_1': 0.8736958946834056, 'beta_2': 0.7664327737252589, 'eps': 7.091786385525756e-09}. Best is trial 12 with value: 0.013616370968520641.[0m
Epoch	Bg_Error	Time
0	0.0977	145.43
1	0.0355	146.18
2	0.0294	146.27
3	0.0258	145.82
4	0.0233	145.62
5	0.0219	145.64
6	0.0203	145.52
7	0.0191	145.59
8	0.0183	145.56
9	0.0170	145.73
10	0.0170	145.84
11	0.0172	145.81
12	0.0162	145.68
13	0.0154	145.54
14	0.0153	145.49
15	0.0155	145.42
16	0.0152	145.25
17	0.0142	145.58
18	0.0144	145.62
19	0.0142	145.09
[32m[I 2022-10-24 14:37:28,362][0m Trial 23 finished with value: 0.014167883433401585 and parameters: {'optimizer': 'Adam', 'lr': 0.0004273646453260862, 'beta_1': 0.8999711457163597, 'beta_2': 0.8138567765158151, 'eps': 1.7485685754584308e-08}. Best is trial 12 with value: 0.013616370968520641.[0m
Epoch	Bg_Error	Time
0	0.1007	146.03
1	0.0376	146.16
2	0.0311	146.20
3	0.0273	145.78
4	0.0249	145.85
5	0.0231	145.54
6	0.0214	145.72
7	0.0200	146.33
8	0.0197	147.28
9	0.0184	146.31
10	0.0178	146.48
11	0.0172	146.55
12	0.0176	146.34
13	0.0165	146.67
14	0.0164	146.13
15	0.0159	146.29
16	0.0155	146.13
17	0.0153	145.94
18	0.0149	145.86
19	0.0149	146.01
[32m[I 2022-10-24 15:26:12,195][0m Trial 24 finished with value: 0.014902874827384949 and parameters: {'optimizer': 'Adam', 'lr': 0.00016171709534188589, 'beta_1': 0.8300167292521503, 'beta_2': 0.8171139201531437, 'eps': 2.121261382603908e-08}. Best is trial 12 with value: 0.013616370968520641.[0m
Epoch	Bg_Error	Time
0	0.0975	145.93
1	0.0431	145.83
2	0.0338	146.29
3	0.0292	145.85
4	0.0260	146.04
5	0.0241	146.33
6	0.0225	146.06
7	0.0213	146.21
8	0.0208	146.54
9	0.0201	145.38
[32m[I 2022-10-24 15:52:58,226][0m Trial 25 pruned. [0m
Epoch	Bg_Error	Time
0	0.1334	146.40
1	0.0418	146.48
2	0.0328	146.23
3	0.0284	146.36
4	0.0253	145.92
5	0.0238	146.16
6	0.0222	145.96
