nohup: ignoring input
device = device(type='cuda')
Epoch	train_loss	train_err[0]	train_err[1]	train_err[2]	test_loss	test_err[0]	test_err[1]	test_err[2]	time
33	0.005379	0.7213	5.3939	28.3998	0.005027	1.0769	0.7245	67.0761	357.27
34	0.005314	0.6751	2.6580	28.0090	0.005340	0.8544	1.9222	20.1150	355.04
35	0.005302	0.6124	0.8544	25.7745	0.005222	0.6076	inf	66.3426	358.30
36	0.005263	0.6044	0.6535	35.2719	0.005185	0.7351	10.6614	38.6885	355.01
37	0.005280	1.4147	1.7837	27.2953	0.005177	0.7403	0.9735	82.7711	354.29
38	0.005304	0.9937	-1.8764	31.4032	0.005518	0.5997	9.0003	20.1164	352.42
39	0.005325	0.8552	1.8341	33.6236	0.005021	0.6575	1.1829	13.0855	351.35
40	0.005242	0.8406	2.1399	28.5081	0.005044	0.9787	2.1993	6.1050	351.65
41	0.005308	1.0106	0.8401	28.0618	0.005035	1.2519	2.1391	28.5369	353.49
42	0.005312	0.7616	-3.5041	32.6516	0.005654	21.3298	0.1239	38.4788	355.09
43	0.005216	0.6918	2.7112	21.1428	0.005383	0.9136	2.7817	37.9975	352.65
44	0.005177	2.7398	1.3964	22.6347	0.004982	0.9286	1.4161	4.1179	351.04
45	0.005176	1.6736	3.4068	27.0793	0.005278	0.6939	2.2034	11.2950	351.52
46	0.005258	1.7037	-2.7720	27.5127	0.005131	0.7664	3.2915	60.6222	354.29
47	0.005127	0.8792	3.5208	30.7029	0.005118	1.3182	7.9253	4.3760	352.04
48	0.005194	1.1672	3.7175	27.0155	0.004918	1.1667	4.6384	4.6178	353.18
49	0.005258	0.8322	-12.6199	25.4161	0.005172	0.9717	1.6141	39.0642	352.17
50	0.005278	2.3583	1.3046	27.2875	0.005423	1.1510	16.9482	1.0536	351.99
51	0.005240	0.7611	3.7137	31.9368	0.005501	0.9632	1.2560	2.6295	354.13
52	0.005156	0.8806	3.0685	23.9698	0.004765	0.7103	1.1110	5.6811	353.18
53	0.005134	1.1115	-1.7074	26.7094	0.004967	0.8661	1.5703	2.0530	351.33
54	0.005150	0.7095	0.6785	25.8346	0.005222	0.5612	1.1544	48.4798	354.31
55	0.005209	2.8869	7.9591	31.5741	0.004945	0.6148	0.9144	25.2394	355.15
56	0.005061	0.8243	1.9282	26.2535	0.005244	1.2830	2.2175	1.9714	352.81
57	0.005366	0.7261	4.9292	26.0162	0.005013	0.7190	8.8898	1.0615	353.73
58	0.005252	1.2532	1.7196	27.7935	0.005098	1.5574	1.0707	3.7111	353.40
59	0.005128	1.0280	2.8937	34.3551	0.005078	0.8142	1.8766	25.8942	353.95
60	0.005122	0.6443	1.1027	27.9066	0.004965	0.7779	1.7672	7.0787	354.95
61	0.005048	0.9075	2.2286	24.4630	0.005006	0.6397	1.1350	34.8245	352.57
62	0.005200	1.8646	1.5762	23.7415	0.007679	1.4530	4.6248	3.9237	351.69
63	0.005207	1.1696	1.0854	34.4957	0.005047	0.7406	-6.2641	6.8188	350.53
64	0.005297	2.1922	1.7238	26.8431	0.005358	0.6255	1.1650	38.9782	352.67
65	0.005197	0.7598	1.6862	23.4817	0.005077	1.8929	-3.9407	9.3906	353.24
66	0.005058	1.0679	0.1888	28.3416	0.005827	0.7464	2.4128	13.4726	351.69
67	0.005207	0.6489	2.5846	28.9413	0.005233	1.0223	0.1272	14.3207	351.68
68	0.005190	0.8964	4.2945	26.9391	0.004938	1.0110	13.8448	6.9839	352.02
69	0.005152	0.6847	4.0055	24.2712	0.005366	1.3152	-1.3443	46.8856	354.26
70	0.005160	0.8693	0.7722	27.2821	0.005117	0.5737	2.3408	11.2445	352.40
71	0.005109	0.7330	1.3331	28.1456	0.004968	1.2166	0.5138	40.1246	356.13
72	0.005172	0.8561	2.8569	27.4119	0.005022	0.9677	1.8798	54.5699	355.74
73	0.005068	0.7530	1.8981	24.2435	0.005103	0.8214	5.8593	9.3916	354.81
74	0.005106	1.3736	-4.2271	23.6952	0.005392	0.8526	3.9110	4.5118	354.60
75	0.005247	4.0641	1.1822	24.0553	0.004879	0.8562	0.4398	43.6863	352.68
epoch_best_accuracy = 12
epoch_best_loss = 52
