[32m[I 2023-04-04 10:32:23,480][0m A new study created in memory with name: Bth_Hyperparam_Tune[0m
Epoch	Bth_Error	Time
7	0.0778	294.82
8	0.0751	294.99
9	0.0697	294.93
10	0.0676	295.29
11	0.0655	294.78
12	0.0632	295.17
13	0.0607	295.05
14	0.0597	295.18
15	0.0586	295.29
16	0.0574	295.09
17	0.0557	295.25
18	0.0542	294.96
19	0.0519	295.08
[32m[I 2023-04-04 20:17:44,247][0m Trial 5 finished with value: 0.051898617297410965 and parameters: {'optimizer': 'Adam', 'lr': 2.2096806643502015e-06, 'beta_1': 0.8054160115848299, 'beta_2': 0.8257793271460652, 'eps': 6.633245610594179e-09}. Best is trial 5 with value: 0.051898617297410965.[0m
Epoch	Bth_Error	Time
0	0.2777	292.02
1	0.2735	290.84
2	0.2742	290.40
3	0.2751	290.03
4	0.2729	290.26
5	0.2731	289.86
6	0.2742	290.41
7	0.2724	290.72
8	0.2738	290.39
[32m[I 2023-04-04 21:06:09,878][0m Trial 6 pruned. [0m
Epoch	Bth_Error	Time
0	0.1071	292.72
1	0.0427	291.92
2	0.0359	291.48
3	0.0322	291.54
4	0.0296	291.58
5	0.0284	291.27
6	0.0273	291.58
7	0.0259	291.57
8	0.0258	291.87
9	0.0255	292.17
10	0.0243	291.68
11	0.0243	291.79
12	0.0232	291.97
13	0.0229	291.83
14	0.0225	291.58
15	0.0226	292.15
16	0.0225	291.79
17	0.0218	291.76
18	0.0224	292.13
19	0.0217	291.93
[32m[I 2023-04-04 22:43:27,004][0m Trial 7 finished with value: 0.02170964702963829 and parameters: {'optimizer': 'Adam', 'lr': 0.0004920422513346992, 'beta_1': 0.7159499228637174, 'beta_2': 0.88921611433415, 'eps': 8.13798665993516e-09}. Best is trial 7 with value: 0.02170964702963829.[0m
Epoch	Bth_Error	Time
0	0.2793	293.98
1	0.2709	294.18
2	0.1676	294.91
3	0.0985	295.98
4	0.0818	295.14
5	0.0754	295.06
6	0.0705	295.06
7	0.0669	295.45
8	0.0646	295.77
9	0.0619	295.85
10	0.0590	295.61
11	0.0564	295.66
12	0.0544	295.54
13	0.0514	295.49
14	0.0506	295.47
15	0.0485	295.33
16	0.0478	295.41
17	0.0458	295.21
18	0.0447	295.18
19	0.0434	295.24
[32m[I 2023-04-05 00:21:53,297][0m Trial 8 finished with value: 0.04337237775325775 and parameters: {'optimizer': 'Adam', 'lr': 3.147656387063382e-06, 'beta_1': 0.872612845763016, 'beta_2': 0.9629362940584306, 'eps': 2.9173046934949715e-09}. Best is trial 7 with value: 0.02170964702963829.[0m
Epoch	Bth_Error	Time
0	0.2741	293.20
1	0.2717	292.83
2	0.2715	291.45
3	0.2738	290.88
4	0.2732	290.95
5	0.2732	291.15
6	0.2742	291.85
7	0.2726	292.92
8	0.2708	293.02
[32m[I 2023-04-05 01:10:35,375][0m Trial 9 pruned. [0m
Epoch	Bth_Error	Time
0	0.2725	295.74
1	0.0917	295.92
2	0.0552	296.44
3	0.0437	295.92
4	0.0383	296.09
5	0.0346	296.37
6	0.0323	295.91
7	0.0301	296.25
8	0.0284	295.87
9	0.0272	294.41
10	0.0263	293.44
11	0.0256	293.77
12	0.0251	294.00
13	0.0242	293.81
14	0.0238	293.94
15	0.0233	294.09
16	0.0230	293.70
17	0.0223	293.70
18	0.0217	294.01
19	0.0221	293.94
[32m[I 2023-04-05 02:48:53,979][0m Trial 10 finished with value: 0.022113673388957977 and parameters: {'optimizer': 'Adam', 'lr': 5.421570971155727e-05, 'beta_1': 0.5119799514436852, 'beta_2': 0.91501611655019, 'eps': 2.072451079724301e-08}. Best is trial 7 with value: 0.02170964702963829.[0m
Epoch	Bth_Error	Time
0	0.2739	293.46
1	0.2387	293.60
2	0.0841	294.23
3	0.0601	294.14
4	0.0492	293.98
5	0.0424	294.18
6	0.0379	294.28
7	0.0355	294.45
8	0.0327	294.01
9	0.0307	294.14
10	0.0289	294.46
11	0.0275	294.06
12	0.0267	294.30
13	0.0259	294.66
14	0.0260	294.36
15	0.0246	294.19
16	0.0243	294.25
17	0.0237	294.25
18	0.0230	294.17
19	0.0231	294.03
[32m[I 2023-04-05 04:26:57,956][0m Trial 11 finished with value: 0.023063167929649353 and parameters: {'optimizer': 'Adam', 'lr': 4.024983435658831e-05, 'beta_1': 0.5155554033394807, 'beta_2': 0.9103946337500372, 'eps': 1.927529935596073e-08}. Best is trial 7 with value: 0.02170964702963829.[0m
Epoch	Bth_Error	Time
0	0.2751	293.51
1	0.1302	294.20
2	0.0610	293.96
3	0.0474	294.08
4	0.0419	294.05
5	0.0372	294.08
6	0.0337	294.26
7	0.0312	294.59
8	0.0294	294.10
9	0.0286	294.08
10	0.0270	293.98
11	0.0263	294.03
12	0.0256	293.72
13	0.0250	293.86
14	0.0245	293.91
15	0.0242	294.01
16	0.0237	294.05
17	0.0228	293.88
18	0.0226	294.13
19	0.0222	293.85
[32m[I 2023-04-05 06:04:59,086][0m Trial 12 finished with value: 0.022228678688406944 and parameters: {'optimizer': 'Adam', 'lr': 5.6669634385487266e-05, 'beta_1': 0.5058588282218658, 'beta_2': 0.9198699439112575, 'eps': 1.8145736210003285e-08}. Best is trial 7 with value: 0.02170964702963829.[0m
Epoch	Bth_Error	Time
0	0.2739	293.43
1	0.2716	291.78
2	0.2711	291.20
3	0.2727	291.21
4	0.2735	291.34
5	0.2719	291.23
6	0.2758	291.25
7	0.2724	290.65
8	0.2733	291.16
[32m[I 2023-04-05 06:53:33,964][0m Trial 13 pruned. [0m
Epoch	Bth_Error	Time
0	0.2760	294.29
1	0.1469	294.98
2	0.0765	295.07
3	0.0668	294.92
4	0.0608	295.03
5	0.0544	295.20
6	0.0500	295.65
7	0.0472	297.22
8	0.0436	296.91
9	0.0413	296.74
10	0.0392	295.23
11	0.0374	294.58
12	0.0364	294.50
13	0.0345	294.41
14	0.0336	294.76
15	0.0326	294.94
16	0.0308	294.59
17	0.0303	294.73
18	0.0295	295.01
19	0.0291	294.89
[32m[I 2023-04-05 08:31:58,423][0m Trial 14 finished with value: 0.029086889699101448 and parameters: {'optimizer': 'Adam', 'lr': 8.639489590801343e-06, 'beta_1': 0.5856524556185713, 'beta_2': 0.8843554583158303, 'eps': 1.0899913963536961e-08}. Best is trial 7 with value: 0.02170964702963829.[0m
Epoch	Bth_Error	Time
0	0.2745	294.14
1	0.1517	294.46
2	0.0723	294.75
3	0.0615	294.76
4	0.0535	294.74
5	0.0487	294.62
6	0.0435	294.69
7	0.0403	294.69
8	0.0386	294.98
9	0.0361	294.57
10	0.0343	295.06
11	0.0328	294.74
12	0.0320	294.94
13	0.0303	294.36
14	0.0298	294.41
15	0.0286	294.58
16	0.0283	294.53
17	0.0283	294.72
18	0.0269	294.64
19	0.0266	294.72
[32m[I 2023-04-05 10:10:12,286][0m Trial 15 finished with value: 0.026550479233264923 and parameters: {'optimizer': 'Adam', 'lr': 1.3044477578576674e-05, 'beta_1': 0.8336301823806843, 'beta_2': 0.8797217469838644, 'eps': 3.531297244846596e-08}. Best is trial 7 with value: 0.02170964702963829.[0m
Epoch	Bth_Error	Time
0	0.2763	293.03
1	0.2718	290.95
2	0.2725	290.85
3	0.2744	291.00
4	0.2752	291.24
5	0.2741	290.82
6	0.2743	290.68
7	0.2732	290.94
8	0.2715	290.61
[32m[I 2023-04-05 10:58:43,780][0m Trial 16 pruned. [0m
Epoch	Bth_Error	Time
0	0.2585	294.31
1	0.0891	295.21
2	0.0681	294.99
3	0.0598	295.53
4	0.0528	295.33
5	0.0474	295.56
6	0.0425	295.50
7	0.0399	295.17
8	0.0369	295.24
9	0.0354	295.19
10	0.0340	295.58
11	0.0324	295.06
12	0.0311	295.33
13	0.0299	295.17
14	0.0292	295.20
15	0.0276	295.05
16	0.0276	294.94
17	0.0271	295.13
18	0.0265	295.10
19	0.0262	295.41
[32m[I 2023-04-05 12:37:08,598][0m Trial 17 finished with value: 0.026207715272903442 and parameters: {'optimizer': 'Adam', 'lr': 1.178552414317051e-05, 'beta_1': 0.6935886559877313, 'beta_2': 0.7541756009503506, 'eps': 5.94424710118114e-09}. Best is trial 7 with value: 0.02170964702963829.[0m
Epoch	Bth_Error	Time
0	0.2763	293.29
1	0.2706	291.88
2	0.2744	291.13
3	0.2730	291.17
4	0.2735	290.90
5	0.2742	291.28
6	0.2744	290.73
7	0.2730	291.28
8	0.2726	291.19
[32m[I 2023-04-05 13:25:43,042][0m Trial 18 pruned. [0m
Epoch	Bth_Error	Time
0	0.2816	291.63
1	0.2741	290.94
2	0.2731	291.04
3	0.2731	291.05
4	0.2740	291.52
5	0.2729	290.90
6	0.2721	290.86
7	0.2729	290.78
8	0.2724	291.31
[32m[I 2023-04-05 14:14:14,940][0m Trial 19 pruned. [0m
Epoch	Bth_Error	Time
0	0.1928	294.63
1	0.0680	294.81
2	0.0524	295.37
3	0.0437	295.11
4	0.0390	295.01
5	0.0361	294.95
6	0.0335	294.87
7	0.0312	294.67
8	0.0295	294.63
9	0.0281	294.95
10	0.0272	294.82
11	0.0263	294.77
12	0.0255	294.50
13	0.0250	294.76
14	0.0249	294.83
15	0.0239	294.91
16	0.0234	294.91
17	0.0232	294.68
18	0.0226	294.70
19	0.0225	294.91
[32m[I 2023-04-05 15:52:32,507][0m Trial 20 finished with value: 0.022537874057888985 and parameters: {'optimizer': 'Adam', 'lr': 2.2451966653674714e-05, 'beta_1': 0.5572304017404734, 'beta_2': 0.8862586005093137, 'eps': 7.504370440313894e-09}. Best is trial 7 with value: 0.02170964702963829.[0m
Epoch	Bth_Error	Time
0	0.2729	293.07
1	0.0976	294.06
2	0.0540	294.37
3	0.0423	294.00
4	0.0373	293.96
5	0.0339	294.43
6	0.0314	294.23
7	0.0290	293.88
8	0.0277	294.24
9	0.0264	293.75
10	0.0259	293.85
11	0.0248	293.83
12	0.0244	294.11
13	0.0235	293.90
14	0.0232	293.94
15	0.0227	293.95
16	0.0225	293.50
17	0.0223	293.94
18	0.0215	293.58
19	0.0217	293.48
[32m[I 2023-04-05 17:30:31,368][0m Trial 21 finished with value: 0.021747982129454613 and parameters: {'optimizer': 'Adam', 'lr': 6.748770881671334e-05, 'beta_1': 0.5029971910501262, 'beta_2': 0.9194555952213141, 'eps': 1.8657823697812768e-08}. Best is trial 7 with value: 0.02170964702963829.[0m
Epoch	Bth_Error	Time
0	0.2753	293.13
1	0.2367	293.16
2	0.0727	294.07
3	0.0586	294.02
4	0.0454	294.08
5	0.0406	293.78
6	0.0365	293.74
7	0.0342	294.02
8	0.0325	293.71
9	0.0303	293.80
10	0.0292	293.75
11	0.0280	293.35
12	0.0271	293.77
13	0.0264	293.69
14	0.0259	293.61
15	0.0251	293.57
16	0.0255	294.01
17	0.0242	293.94
18	0.0239	293.60
19	0.0235	293.75
[32m[I 2023-04-05 19:08:26,726][0m Trial 22 finished with value: 0.02351471781730652 and parameters: {'optimizer': 'Adam', 'lr': 7.301961596346422e-05, 'beta_1': 0.5332968103876489, 'beta_2': 0.89929463396801, 'eps': 2.485327001183021e-08}. Best is trial 7 with value: 0.02170964702963829.[0m
Epoch	Bth_Error	Time
0	0.1959	294.67
1	0.0675	294.53
2	0.0532	294.83
3	0.0434	294.78
4	0.0393	294.61
5	0.0355	294.76
6	0.0330	294.79
7	0.0310	294.66
8	0.0297	294.95
9	0.0280	294.56
10	0.0271	294.50
11	0.0264	294.71
12	0.0259	294.62
13	0.0257	294.89
14	0.0250	294.48
15	0.0241	294.74
16	0.0236	294.56
17	0.0234	294.64
18	0.0228	294.65
19	0.0227	294.40
[32m[I 2023-04-05 20:46:40,860][0m Trial 23 finished with value: 0.022721638903021812 and parameters: {'optimizer': 'Adam', 'lr': 2.5248649093099524e-05, 'beta_1': 0.5983537577997216, 'beta_2': 0.8587716571100017, 'eps': 1.0147591152030469e-08}. Best is trial 7 with value: 0.02170964702963829.[0m
Epoch	Bth_Error	Time
0	0.2765	293.31
1	0.2732	291.62
2	0.2731	290.99
3	0.2731	290.72
4	0.2756	291.14
5	0.2740	291.26
6	0.2736	290.65
7	0.2716	291.01
8	0.2734	291.05
[32m[I 2023-04-05 21:35:14,408][0m Trial 24 pruned. [0m
Epoch	Bth_Error	Time
0	0.2748	294.36
1	0.1192	294.94
2	0.0800	295.21
3	0.0700	295.22
4	0.0635	295.11
5	0.0590	295.40
6	0.0548	295.29
7	0.0506	295.43
8	0.0474	295.10
[32m[I 2023-04-05 22:24:26,617][0m Trial 25 pruned. [0m
Epoch	Bth_Error	Time
0	0.2726	293.25
1	0.2736	292.56
2	0.1303	293.81
3	0.0641	293.89
4	0.0500	293.92
5	0.0417	293.72
6	0.0373	293.39
7	0.0349	293.58
8	0.0330	293.26
9	0.0308	293.20
10	0.0301	293.36
11	0.0281	293.12
12	0.0273	293.18
13	0.0264	292.64
14	0.0264	292.79
15	0.0253	293.01
16	0.0252	292.79
17	0.0244	293.32
18	0.0235	295.35
19	0.0234	295.34
[32m[I 2023-04-06 00:02:16,892][0m Trial 26 finished with value: 0.02337346225976944 and parameters: {'optimizer': 'Adam', 'lr': 7.357125401785352e-05, 'beta_1': 0.6667008131422689, 'beta_2': 0.8704543038877582, 'eps': 4.700817059212165e-08}. Best is trial 7 with value: 0.02170964702963829.[0m
Epoch	Bth_Error	Time
0	0.2752	294.34
1	0.2731	292.22
2	0.2726	292.68
3	0.2742	292.56
4	0.2734	292.28
5	0.2736	292.35
6	0.2738	292.37
7	0.2720	292.59
8	0.2732	292.73
[32m[I 2023-04-06 00:51:03,791][0m Trial 27 pruned. [0m
Epoch	Bth_Error	Time
0	0.2749	295.78
1	0.2180	295.53
2	0.0805	296.08
3	0.0591	296.79
4	0.0484	296.92
5	0.0424	296.20
6	0.0390	295.90
7	0.0353	295.94
8	0.0334	296.51
9	0.0315	296.12
10	0.0298	296.00
11	0.0287	295.86
12	0.0276	296.18
13	0.0266	296.48
14	0.0258	295.91
15	0.0258	296.19
16	0.0247	295.81
17	0.0243	296.06
18	0.0240	295.76
19	0.0237	296.34
[32m[I 2023-04-06 02:29:46,974][0m Trial 28 finished with value: 0.0237373486161232 and parameters: {'optimizer': 'Adam', 'lr': 3.663217959864058e-05, 'beta_1': 0.6072102205325196, 'beta_2': 0.9610207512278549, 'eps': 6.978951373614487e-08}. Best is trial 7 with value: 0.02170964702963829.[0m
Epoch	Bth_Error	Time
0	0.2811	292.18
1	0.2737	291.92
2	0.2736	292.05
3	0.2743	291.87
4	0.2748	292.34
5	0.2739	291.97
6	0.2711	292.15
7	0.2716	291.74
8	0.2735	291.91
[32m[I 2023-04-06 03:18:27,601][0m Trial 29 pruned. [0m
Epoch	Bth_Error	Time
0	0.2735	294.66
1	0.2726	293.05
2	0.2751	292.79
3	0.2713	292.67
4	0.2749	292.57
5	0.2715	292.44
6	0.2733	292.40
7	0.2741	291.07
8	0.2727	292.56
[32m[I 2023-04-06 04:07:14,904][0m Trial 30 pruned. [0m
Epoch	Bth_Error	Time
0	0.2731	295.26
1	0.2742	295.29
2	0.1923	294.95
3	0.0680	295.71
4	0.0541	296.01
5	0.0465	295.89
6	0.0430	295.96
7	0.0384	295.61
8	0.0351	295.48
9	0.0334	295.70
10	0.0381	295.71
11	0.0298	295.44
12	0.0300	295.27
13	0.0278	295.44
14	0.0272	296.05
15	0.0261	295.92
16	0.0323	295.39
17	0.0253	295.66
18	0.0248	295.65
19	0.0241	295.91
[32m[I 2023-04-06 05:45:48,022][0m Trial 31 finished with value: 0.02413618005812168 and parameters: {'optimizer': 'Adam', 'lr': 4.8540932020940486e-05, 'beta_1': 0.5006720981277761, 'beta_2': 0.9183766209671244, 'eps': 1.7082907819729662e-08}. Best is trial 7 with value: 0.02170964702963829.[0m
Epoch	Bth_Error	Time
0	0.2740	294.78
1	0.1385	295.57
2	0.0594	295.83
3	0.0475	295.57
4	0.0409	295.44
5	0.0369	295.94
6	0.0331	295.52
7	0.0314	295.99
8	0.0296	295.57
9	0.0284	295.64
10	0.0273	295.84
11	0.0265	295.70
12	0.0255	295.27
13	0.0253	295.10
14	0.0243	295.67
15	0.0239	295.35
16	0.0234	295.73
17	0.0229	295.64
18	0.0230	295.69
19	0.0228	295.64
[32m[I 2023-04-06 07:24:20,268][0m Trial 32 finished with value: 0.022774595767259598 and parameters: {'optimizer': 'Adam', 'lr': 6.581316136699014e-05, 'beta_1': 0.562705123032704, 'beta_2': 0.8946245988721078, 'eps': 2.075512626270614e-08}. Best is trial 7 with value: 0.02170964702963829.[0m
Epoch	Bth_Error	Time
0	0.1793	296.50
1	0.0674	296.92
2	0.0536	297.01
3	0.0459	297.08
4	0.0409	296.71
5	0.0370	296.83
6	0.0345	296.74
7	0.0329	296.48
8	0.0311	296.78
9	0.0293	296.67
10	0.0280	296.79
11	0.0280	296.57
12	0.0267	296.65
13	0.0261	296.84
14	0.0256	296.72
15	0.0249	296.91
16	0.0244	296.81
17	0.0240	296.86
18	0.0234	296.15
19	0.0232	296.75
[32m[I 2023-04-06 09:03:15,832][0m Trial 33 finished with value: 0.023182924836874008 and parameters: {'optimizer': 'Adam', 'lr': 1.98379499476509e-05, 'beta_1': 0.5204829875369474, 'beta_2': 0.9370777730113392, 'eps': 1.373772315657945e-08}. Best is trial 7 with value: 0.02170964702963829.[0m
Epoch	Bth_Error	Time
0	0.2745	292.86
1	0.2740	292.45
2	0.2740	292.98
3	0.2716	292.13
4	0.2731	292.24
5	0.2727	292.63
6	0.2713	292.48
7	0.2735	292.55
8	0.2720	292.67
[32m[I 2023-04-06 09:52:02,216][0m Trial 34 pruned. [0m
Epoch	Bth_Error	Time
0	0.2729	293.96
1	0.2728	292.82
2	0.2717	292.84
3	0.2731	292.73
4	0.2748	292.90
5	0.2709	292.42
6	0.2741	292.88
7	0.2727	292.85
8	0.2718	292.65
[32m[I 2023-04-06 10:40:51,724][0m Trial 35 pruned. [0m
Epoch	Bth_Error	Time
0	0.2734	295.09
1	0.2552	295.13
2	0.0834	295.92
3	0.0534	296.05
4	0.0442	295.51
5	0.0385	295.64
6	0.0348	295.70
7	0.0320	295.36
8	0.0302	295.43
9	0.0286	295.63
10	0.0274	296.14
11	0.0264	292.50
12	0.0258	292.51
13	0.0248	292.57
14	0.0247	292.50
15	0.0235	292.52
16	0.0233	292.50
17	0.0229	292.13
18	0.0223	292.32
19	0.0225	292.08
[32m[I 2023-04-06 12:18:55,731][0m Trial 36 finished with value: 0.022486209869384766 and parameters: {'optimizer': 'Adam', 'lr': 5.1961833916079744e-05, 'beta_1': 0.5459558694025453, 'beta_2': 0.896153886729791, 'eps': 1.3582083396739296e-08}. Best is trial 7 with value: 0.02170964702963829.[0m
Epoch	Bth_Error	Time
0	0.2750	289.97
1	0.2739	289.00
2	0.2745	289.41
3	0.2747	289.02
4	0.2735	290.14
5	0.2747	290.55
6	0.2748	290.13
7	0.2733	290.25
8	0.2729	289.79
[32m[I 2023-04-06 13:07:14,582][0m Trial 37 pruned. [0m
Epoch	Bth_Error	Time
0	0.2169	293.92
1	0.0652	296.82
2	0.0483	293.90
3	0.0413	294.28
4	0.0367	293.86
5	0.0341	294.16
6	0.0310	294.47
7	0.0291	293.38
8	0.0282	292.77
9	0.0270	292.54
10	0.0263	292.49
11	0.0255	292.68
12	0.0251	292.71
13	0.0241	292.80
14	0.0238	292.57
15	0.0229	292.52
16	0.0229	292.61
17	0.0225	292.69
18	0.0215	292.42
19	0.0219	292.48
[32m[I 2023-04-06 14:45:01,446][0m Trial 38 finished with value: 0.021888334304094315 and parameters: {'optimizer': 'Adam', 'lr': 3.0825217058919006e-05, 'beta_1': 0.6231300148492986, 'beta_2': 0.9526227392026244, 'eps': 8.46831191052626e-09}. Best is trial 7 with value: 0.02170964702963829.[0m
Epoch	Bth_Error	Time
0	0.2942	291.92
1	0.2717	292.27
2	0.2727	293.72
3	0.2715	293.89
4	0.2371	293.84
5	0.1570	294.08
6	0.1153	294.49
7	0.1008	294.30
8	0.0907	294.60
[32m[I 2023-04-06 15:33:59,918][0m Trial 39 pruned. [0m
Epoch	Bth_Error	Time
0	0.2756	293.09
1	0.2738	292.72
2	0.2746	292.71
3	0.1228	293.15
4	0.0757	293.52
5	0.0601	293.56
6	0.0491	293.87
7	0.0434	293.51
8	0.0392	293.61
[32m[I 2023-04-06 16:22:54,076][0m Trial 40 pruned. [0m
Epoch	Bth_Error	Time
0	0.2083	293.67
1	0.0752	294.10
2	0.0611	294.43
3	0.0513	294.09
4	0.0447	294.09
5	0.0410	293.95
6	0.0375	294.08
7	0.0348	294.40
8	0.0333	294.00
[32m[I 2023-04-06 17:11:55,726][0m Trial 41 pruned. [0m
Epoch	Bth_Error	Time
0	0.2739	292.30
1	0.1173	293.06
2	0.0551	293.05
3	0.0454	292.95
4	0.0398	292.83
5	0.0363	292.71
6	0.0335	293.08
7	0.0318	292.71
8	0.0295	292.63
9	0.0285	293.06
10	0.0276	292.44
11	0.0263	292.49
12	0.0254	292.81
13	0.0247	292.58
14	0.0245	292.44
15	0.0239	292.45
16	0.0238	292.82
17	0.0234	292.35
18	0.0231	292.38
19	0.0222	292.42
[32m[I 2023-04-06 18:49:30,067][0m Trial 42 finished with value: 0.022155923768877983 and parameters: {'optimizer': 'Adam', 'lr': 0.00010817182155564854, 'beta_1': 0.514171513600376, 'beta_2': 0.9104660267800381, 'eps': 6.18699163910416e-09}. Best is trial 7 with value: 0.02170964702963829.[0m
Epoch	Bth_Error	Time
0	0.2725	292.11
1	0.0787	293.20
2	0.0473	293.01
3	0.0384	292.63
4	0.0338	292.97
5	0.0303	293.17
6	0.0285	292.94
7	0.0268	293.65
8	0.0261	295.39
9	0.0249	295.24
10	0.0242	295.02
11	0.0235	294.14
12	0.0230	292.82
13	0.0227	292.45
14	0.0222	292.50
15	0.0219	292.28
16	0.0213	292.49
17	0.0210	291.96
18	0.0211	292.10
19	0.0207	292.56
[32m[I 2023-04-06 20:27:13,459][0m Trial 43 finished with value: 0.02073519490659237 and parameters: {'optimizer': 'Adam', 'lr': 0.00010140611176715872, 'beta_1': 0.5827765295538069, 'beta_2': 0.9111444332457338, 'eps': 3.5167735087130234e-09}. Best is trial 43 with value: 0.02073519490659237.[0m
Epoch	Bth_Error	Time
0	0.1510	293.67
1	0.0583	293.77
2	0.0443	294.12
3	0.0386	294.22
4	0.0347	293.56
5	0.0320	293.75
6	0.0300	293.64
7	0.0284	293.92
8	0.0271	293.43
9	0.0269	293.59
10	0.0258	293.42
11	0.0250	293.82
12	0.0244	293.43
13	0.0235	293.39
14	0.0234	293.29
15	0.0227	293.31
16	0.0227	294.04
17	0.0224	293.53
18	0.0219	293.47
19	0.0213	293.21
[32m[I 2023-04-06 22:05:06,835][0m Trial 44 finished with value: 0.021317899227142334 and parameters: {'optimizer': 'Adam', 'lr': 3.6213900725041205e-05, 'beta_1': 0.5797823085424662, 'beta_2': 0.94166707360272, 'eps': 2.289468619615013e-09}. Best is trial 43 with value: 0.02073519490659237.[0m
Epoch	Bth_Error	Time
0	0.2745	290.51
1	0.2723	290.43
2	0.2722	290.15
3	0.2720	289.67
4	0.2730	290.16
5	0.2718	290.46
6	0.2727	290.33
7	0.2732	290.16
8	0.2747	290.06
[32m[I 2023-04-06 22:53:29,605][0m Trial 45 pruned. [0m
Epoch	Bth_Error	Time
0	0.1429	294.30
1	0.0562	294.58
2	0.0422	293.91
3	0.0364	294.17
4	0.0334	294.12
5	0.0306	294.43
6	0.0291	294.37
7	0.0277	293.88
8	0.0265	294.07
9	0.0258	294.16
10	0.0250	294.23
11	0.0247	294.20
12	0.0238	294.25
13	0.0238	293.78
14	0.0224	294.02
15	0.0221	294.03
16	0.0224	293.79
