[32m[I 2023-03-31 10:47:32,269][0m A new study created in memory with name: Bg_Hyperparam_Tune[0m
Epoch	Bg_Error	Time
1	0.2135	192.48
2	0.0696	192.14
3	0.0538	192.01
4	0.0441	192.37
5	0.0397	192.05
6	0.0359	191.52
7	0.0335	191.68
8	0.0317	192.10
[32m[I 2023-03-31 18:31:13,212][0m Trial 7 pruned. [0m
Epoch	Bg_Error	Time
0	0.5032	193.90
1	0.4680	194.04
2	0.4371	194.07
3	0.3606	194.12
4	0.0943	194.24
5	0.0556	194.40
6	0.0452	194.19
7	0.0390	194.05
8	0.0344	194.05
[32m[I 2023-03-31 19:03:34,859][0m Trial 8 pruned. [0m
Epoch	Bg_Error	Time
0	0.4951	193.86
1	0.4796	194.10
2	0.2212	194.40
3	0.0881	194.42
4	0.0678	194.25
5	0.0577	194.14
6	0.0517	194.36
7	0.0466	194.47
8	0.0432	194.13
[32m[I 2023-03-31 19:35:57,735][0m Trial 9 pruned. [0m
Epoch	Bg_Error	Time
0	0.4996	194.10
1	0.4995	194.30
2	0.4959	194.09
3	0.4960	194.34
4	0.4970	194.25
5	0.4945	194.16
6	0.4943	194.22
7	0.4923	194.23
8	0.4927	194.35
[32m[I 2023-03-31 20:08:20,574][0m Trial 10 pruned. [0m
Epoch	Bg_Error	Time
0	0.3385	194.25
1	0.0612	193.32
2	0.0422	193.23
3	0.0347	193.59
4	0.0308	192.98
5	0.0278	193.54
6	0.0256	193.18
7	0.0237	193.21
8	0.0229	192.99
9	0.0217	193.16
10	0.0201	193.01
11	0.0200	193.08
12	0.0192	193.18
13	0.0180	193.12
14	0.0176	192.88
15	0.0179	192.98
16	0.0173	192.98
17	0.0167	192.80
18	0.0164	192.60
19	0.0161	193.45
[32m[I 2023-03-31 21:12:44,482][0m Trial 11 finished with value: 0.016134627163410187 and parameters: {'optimizer': 'Adam', 'lr': 0.0001556007399936124, 'beta_1': 0.8156160551357161, 'beta_2': 0.8517668139548404, 'eps': 1.9399676387589086e-08}. Best is trial 5 with value: 0.015105611644685268.[0m
Epoch	Bg_Error	Time
0	0.4732	194.06
1	0.1036	194.13
2	0.0520	194.07
3	0.0414	193.94
4	0.0340	193.84
5	0.0298	193.66
6	0.0277	193.56
7	0.0267	193.91
8	0.0255	193.65
[32m[I 2023-03-31 21:45:03,085][0m Trial 12 pruned. [0m
Epoch	Bg_Error	Time
0	0.2048	193.14
1	0.0444	192.96
2	0.0332	192.72
3	0.0276	193.07
4	0.0279	192.50
5	0.0239	193.16
6	0.0222	192.74
7	0.0221	192.38
8	0.0209	192.61
9	0.0202	192.56
10	0.0198	192.87
11	0.0188	192.28
12	0.0173	192.67
13	0.0173	192.38
14	0.0168	192.40
15	0.0168	192.76
16	0.0163	192.10
17	0.0156	192.36
18	0.0155	192.13
19	0.0157	192.28
[32m[I 2023-03-31 22:49:15,532][0m Trial 13 finished with value: 0.01570233516395092 and parameters: {'optimizer': 'Adam', 'lr': 0.00032578651359916943, 'beta_1': 0.8699418488937626, 'beta_2': 0.8320289105845026, 'eps': 1.60081199664402e-08}. Best is trial 5 with value: 0.015105611644685268.[0m
Epoch	Bg_Error	Time
0	0.1618	192.16
1	0.0417	192.30
2	0.0317	192.38
3	0.0284	192.29
4	0.0254	192.71
5	0.0252	192.08
6	0.0234	192.58
7	0.0220	192.35
8	0.0217	192.38
9	0.0210	192.46
10	0.0205	192.26
11	0.0185	192.42
12	0.0181	192.24
13	0.0185	192.24
14	0.0171	192.56
15	0.0169	192.41
16	0.0163	192.48
17	0.0162	192.26
18	0.0159	192.44
19	0.0149	192.15
[32m[I 2023-03-31 23:53:22,945][0m Trial 14 finished with value: 0.014916522428393364 and parameters: {'optimizer': 'Adam', 'lr': 0.00044074681181818884, 'beta_1': 0.8838852978499152, 'beta_2': 0.8171888331940317, 'eps': 5.515857432126382e-09}. Best is trial 14 with value: 0.014916522428393364.[0m
Epoch	Bg_Error	Time
0	0.2042	192.88
1	0.0501	192.29
2	0.0388	192.74
3	0.0325	192.67
4	0.0298	192.34
5	0.0276	192.27
6	0.0269	192.49
7	0.0257	192.37
8	0.0235	192.27
[32m[I 2023-04-01 00:25:27,694][0m Trial 15 pruned. [0m
Epoch	Bg_Error	Time
0	0.5081	194.13
1	0.3488	194.24
2	0.0856	194.49
3	0.0584	194.13
4	0.0469	193.73
5	0.0392	193.94
6	0.0349	194.02
7	0.0315	193.99
8	0.0299	193.84
[32m[I 2023-04-01 00:57:48,325][0m Trial 16 pruned. [0m
Epoch	Bg_Error	Time
0	0.4949	193.83
1	0.4891	194.28
2	0.4840	194.14
3	0.4707	193.95
4	0.2171	194.37
5	0.1169	194.36
6	0.0884	194.42
7	0.0761	194.74
8	0.0673	193.95
[32m[I 2023-04-01 01:30:10,995][0m Trial 17 pruned. [0m
Epoch	Bg_Error	Time
0	0.2502	192.02
1	0.0492	192.37
2	0.0358	192.27
3	0.0311	192.03
4	0.0279	191.73
5	0.0262	191.90
6	0.0248	191.74
7	0.0231	192.33
8	0.0229	192.16
9	0.0218	192.16
10	0.0216	191.75
[32m[I 2023-04-01 02:08:35,657][0m Trial 18 pruned. [0m
Epoch	Bg_Error	Time
0	0.1854	194.18
1	0.0686	194.04
2	0.0507	193.72
3	0.0425	193.65
4	0.0369	194.09
5	0.0332	193.85
6	0.0313	193.72
7	0.0290	193.92
8	0.0276	193.51
[32m[I 2023-04-01 02:40:54,039][0m Trial 19 pruned. [0m
Epoch	Bg_Error	Time
0	0.1802	193.12
1	0.0523	193.26
2	0.0382	193.11
3	0.0333	193.09
4	0.0287	192.46
5	0.0256	192.87
6	0.0245	192.63
7	0.0237	192.97
8	0.0220	192.57
9	0.0216	193.01
10	0.0203	192.80
11	0.0198	192.83
12	0.0194	193.04
[32m[I 2023-04-01 03:25:54,983][0m Trial 20 pruned. [0m
Epoch	Bg_Error	Time
0	0.1948	192.87
1	0.0442	193.02
2	0.0333	192.65
3	0.0284	192.67
4	0.0263	192.82
5	0.0250	193.01
6	0.0230	192.80
7	0.0227	192.66
8	0.0200	192.99
9	0.0202	192.52
10	0.0196	192.43
11	0.0190	192.69
12	0.0187	192.64
13	0.0181	192.42
14	0.0172	192.67
15	0.0162	192.84
16	0.0171	192.50
17	0.0162	192.66
18	0.0159	192.68
19	0.0155	192.57
[32m[I 2023-04-01 04:30:09,483][0m Trial 21 finished with value: 0.01550450548529625 and parameters: {'optimizer': 'Adam', 'lr': 0.0004477459304667401, 'beta_1': 0.8649051836541687, 'beta_2': 0.832517878305644, 'eps': 1.6056321886245035e-08}. Best is trial 14 with value: 0.014916522428393364.[0m
Epoch	Bg_Error	Time
0	0.2510	193.24
1	0.0431	192.56
2	0.0346	192.69
3	0.0299	192.91
4	0.0269	192.43
5	0.0249	192.61
6	0.0244	192.37
7	0.0237	192.34
8	0.0214	192.63
9	0.0204	192.32
10	0.0202	192.58
11	0.0185	192.61
12	0.0181	192.95
13	0.0177	192.33
14	0.0174	192.74
15	0.0168	192.82
16	0.0162	192.92
17	0.0164	192.28
18	0.0161	192.79
19	0.0152	192.24
[32m[I 2023-04-01 05:34:22,126][0m Trial 22 finished with value: 0.015206592157483101 and parameters: {'optimizer': 'Adam', 'lr': 0.000455421405795, 'beta_1': 0.894863206338032, 'beta_2': 0.8281449966834383, 'eps': 4.340965825013095e-08}. Best is trial 14 with value: 0.014916522428393364.[0m
Epoch	Bg_Error	Time
0	0.4222	193.86
1	0.3318	192.54
2	0.3391	192.59
3	0.3582	192.66
4	0.3650	192.49
5	0.0970	192.81
6	0.0239	192.52
7	0.0215	192.73
8	0.0200	192.46
9	0.0184	192.42
10	0.0186	192.87
11	0.0175	192.58
12	0.0163	192.72
13	0.0156	192.70
14	0.0161	192.51
15	0.0157	192.44
16	0.0146	192.61
17	0.0144	192.78
18	0.0142	192.56
19	0.0137	192.83
[32m[I 2023-04-01 06:38:36,078][0m Trial 23 finished with value: 0.013687564991414547 and parameters: {'optimizer': 'Adam', 'lr': 0.0002779352994832484, 'beta_1': 0.8977353726803788, 'beta_2': 0.9989941433614081, 'eps': 4.167397591602941e-08}. Best is trial 23 with value: 0.013687564991414547.[0m
Epoch	Bg_Error	Time
0	0.3542	193.47
1	0.0578	193.29
2	0.0362	193.39
3	0.0289	193.68
4	0.0275	193.38
5	0.0230	193.20
6	0.0219	193.13
7	0.0203	193.02
8	0.0199	193.13
9	0.0195	193.02
10	0.0190	193.17
11	0.0180	193.06
12	0.0179	193.02
13	0.0174	193.22
14	0.0167	192.94
15	0.0164	193.16
16	0.0162	193.06
17	0.0159	193.05
18	0.0157	192.82
19	0.0154	192.94
[32m[I 2023-04-01 07:42:59,506][0m Trial 24 finished with value: 0.015403170138597488 and parameters: {'optimizer': 'Adam', 'lr': 0.00026188474381936714, 'beta_1': 0.84689602948248, 'beta_2': 0.954779120821921, 'eps': 4.31678875273948e-08}. Best is trial 23 with value: 0.013687564991414547.[0m
Epoch	Bg_Error	Time
0	0.2334	193.73
1	0.0479	193.87
2	0.0386	193.44
3	0.0332	194.09
4	0.0310	193.88
5	0.0284	193.62
6	0.0258	193.53
7	0.0249	193.51
8	0.0234	193.20
[32m[I 2023-04-01 08:15:16,163][0m Trial 25 pruned. [0m
Epoch	Bg_Error	Time
0	0.4867	194.04
1	0.4551	194.26
2	0.4273	194.17
3	0.4053	194.25
4	0.3417	194.41
5	0.0742	194.18
6	0.0429	194.30
7	0.0343	194.21
8	0.0306	194.30
[32m[I 2023-04-01 08:47:38,706][0m Trial 26 pruned. [0m
Epoch	Bg_Error	Time
0	0.2690	193.37
1	0.0420	192.84
2	0.0355	192.97
3	0.0293	192.72
4	0.0276	193.04
5	0.0253	192.70
6	0.0226	193.33
7	0.0228	192.86
8	0.0209	192.95
9	0.0201	193.25
10	0.0197	192.84
[32m[I 2023-04-01 09:26:14,722][0m Trial 27 pruned. [0m
Epoch	Bg_Error	Time
0	0.2080	193.58
1	0.0494	193.36
2	0.0376	193.87
3	0.0324	193.54
4	0.0283	193.18
5	0.0252	193.80
6	0.0242	193.22
7	0.0229	193.66
8	0.0215	193.44
9	0.0196	193.51
10	0.0193	193.09
11	0.0176	193.70
12	0.0172	193.29
13	0.0167	193.07
14	0.0167	193.19
15	0.0170	192.82
16	0.0169	193.54
17	0.0157	193.26
18	0.0156	193.05
19	0.0149	193.19
[32m[I 2023-04-01 10:30:42,465][0m Trial 28 finished with value: 0.014853871427476406 and parameters: {'optimizer': 'Adam', 'lr': 0.00020864883439104283, 'beta_1': 0.8569923361459609, 'beta_2': 0.9437503444299482, 'eps': 9.843222186220634e-09}. Best is trial 23 with value: 0.013687564991414547.[0m
Epoch	Bg_Error	Time
0	0.1532	193.85
1	0.0523	193.46
2	0.0387	193.42
3	0.0325	193.42
4	0.0292	193.30
5	0.0266	193.31
6	0.0247	193.69
7	0.0230	193.19
8	0.0219	193.38
9	0.0206	193.52
10	0.0199	193.46
[32m[I 2023-04-01 11:09:23,634][0m Trial 29 pruned. [0m
Epoch	Bg_Error	Time
0	0.4047	194.10
1	0.0825	194.71
2	0.0502	194.42
3	0.0404	194.52
4	0.0362	194.24
5	0.0322	194.60
6	0.0302	194.32
7	0.0285	194.35
8	0.0265	194.50
[32m[I 2023-04-01 11:41:47,671][0m Trial 30 pruned. [0m
Epoch	Bg_Error	Time
0	0.2386	194.01
1	0.0537	193.75
2	0.0386	193.96
3	0.0339	193.75
4	0.0296	194.00
5	0.0278	193.90
6	0.0253	194.06
7	0.0242	193.69
8	0.0234	193.90
[32m[I 2023-04-01 12:14:06,818][0m Trial 31 pruned. [0m
Epoch	Bg_Error	Time
0	0.1869	193.74
1	0.0451	193.41
2	0.0341	193.24
3	0.0298	193.01
4	0.0261	193.43
5	0.0230	193.02
6	0.0219	193.17
7	0.0205	193.09
8	0.0193	193.25
9	0.0182	192.88
10	0.0185	193.03
11	0.0175	192.95
12	0.0168	193.38
13	0.0174	192.89
14	0.0168	192.82
15	0.0166	193.18
16	0.0163	192.76
17	0.0156	193.10
18	0.0157	192.60
19	0.0154	193.01
[32m[I 2023-04-01 13:18:29,148][0m Trial 32 finished with value: 0.01536470651626587 and parameters: {'optimizer': 'Adam', 'lr': 0.0002690410428676308, 'beta_1': 0.8471440113754775, 'beta_2': 0.9683457118892947, 'eps': 1.1749720345288535e-08}. Best is trial 23 with value: 0.013687564991414547.[0m
Epoch	Bg_Error	Time
0	0.1795	193.19
1	0.0831	192.94
2	0.0958	192.70
3	0.0333	192.55
4	0.0302	192.73
5	0.0270	191.90
6	0.0255	192.16
7	0.0241	191.79
8	0.0229	192.17
[32m[I 2023-04-01 13:50:33,713][0m Trial 33 pruned. [0m
Epoch	Bg_Error	Time
0	0.2343	193.89
1	0.0492	193.90
2	0.0357	193.25
3	0.0310	193.92
4	0.0277	193.72
5	0.0260	193.30
6	0.0231	193.44
7	0.0220	193.32
8	0.0207	193.15
9	0.0198	193.22
10	0.0200	193.65
[32m[I 2023-04-01 14:29:16,034][0m Trial 34 pruned. [0m
Epoch	Bg_Error	Time
0	0.1788	193.89
1	0.0469	193.70
2	0.0355	193.48
3	0.0300	193.01
4	0.0262	193.23
5	0.0241	193.40
6	0.0220	192.96
7	0.0208	193.54
8	0.0200	192.88
9	0.0188	193.79
10	0.0187	193.18
11	0.0178	193.07
12	0.0176	193.15
13	0.0170	193.24
14	0.0168	193.12
15	0.0163	193.37
16	0.0158	192.81
17	0.0156	193.04
18	0.0149	192.92
19	0.0146	192.80
[32m[I 2023-04-01 15:33:40,986][0m Trial 35 finished with value: 0.0145639069378376 and parameters: {'optimizer': 'Adam', 'lr': 0.00031014257546054674, 'beta_1': 0.84334152646226, 'beta_2': 0.9476633256116344, 'eps': 5.730343713792343e-09}. Best is trial 23 with value: 0.013687564991414547.[0m
Epoch	Bg_Error	Time
0	0.2230	193.71
1	0.0783	194.23
2	0.0569	194.08
3	0.0468	193.93
4	0.0411	193.62
5	0.0372	193.69
6	0.0337	193.77
7	0.0310	193.55
8	0.0294	193.43
[32m[I 2023-04-01 16:05:58,763][0m Trial 36 pruned. [0m
Epoch	Bg_Error	Time
0	0.1746	193.47
1	0.0564	193.60
2	0.0432	193.34
3	0.0361	193.67
4	0.0314	193.30
5	0.0284	192.99
6	0.0255	193.16
7	0.0236	193.57
8	0.0230	193.26
[32m[I 2023-04-01 16:38:12,775][0m Trial 37 pruned. [0m
Epoch	Bg_Error	Time
0	0.5125	193.78
1	0.5097	194.19
2	0.5080	194.52
3	0.5049	194.39
4	0.5020	194.39
5	0.4974	194.31
6	0.4940	194.56
7	0.4931	194.43
8	0.4886	194.67
[32m[I 2023-04-01 17:10:36,754][0m Trial 38 pruned. [0m
Epoch	Bg_Error	Time
0	0.4787	194.33
1	0.1144	194.52
2	0.0687	194.51
3	0.0490	194.53
4	0.0407	194.40
5	0.0358	194.54
6	0.0341	194.90
7	0.0325	194.78
8	0.0287	194.55
[32m[I 2023-04-01 17:43:02,547][0m Trial 39 pruned. [0m
Epoch	Bg_Error	Time
0	0.1989	193.97
1	0.0536	193.54
2	0.0392	193.85
3	0.0334	193.90
4	0.0298	193.62
5	0.0272	193.95
6	0.0248	193.45
7	0.0234	193.64
8	0.0221	193.26
[32m[I 2023-04-01 18:15:19,473][0m Trial 40 pruned. [0m
Epoch	Bg_Error	Time
0	0.1788	193.14
1	0.0471	192.93
2	0.0349	192.62
3	0.0289	193.25
4	0.0268	193.21
5	0.0232	192.80
6	0.0225	192.97
7	0.0216	192.71
8	0.0204	192.59
9	0.0198	192.35
10	0.0193	192.87
[32m[I 2023-04-01 18:53:53,745][0m Trial 41 pruned. [0m
Epoch	Bg_Error	Time
0	0.1736	192.25
1	0.0425	192.86
2	0.0307	192.14
3	0.0266	192.58
4	0.0247	192.52
5	0.0227	192.29
6	0.0223	192.17
7	0.0206	192.43
8	0.0190	192.20
9	0.0184	192.32
10	0.0180	192.59
11	0.0176	192.40
12	0.0166	192.18
13	0.0168	192.52
14	0.0160	192.36
15	0.0157	192.44
16	0.0159	192.44
17	0.0156	192.44
18	0.0148	192.19
19	0.0153	192.90
[32m[I 2023-04-01 19:58:02,351][0m Trial 42 finished with value: 0.01527791004627943 and parameters: {'optimizer': 'Adam', 'lr': 0.0007397605458829079, 'beta_1': 0.8543752575738752, 'beta_2': 0.9816029335392026, 'eps': 6.15325508023003e-09}. Best is trial 23 with value: 0.013687564991414547.[0m
Epoch	Bg_Error	Time
0	0.1551	193.09
1	0.0373	192.92
2	0.0300	192.53
3	0.0264	192.78
4	0.0244	192.87
5	0.0229	192.46
6	0.0219	192.87
7	0.0202	192.67
8	0.0203	192.57
9	0.0187	192.61
10	0.0183	192.85
11	0.0170	192.73
12	0.0178	192.62
13	0.0165	192.90
14	0.0162	193.15
15	0.0160	192.83
16	0.0159	192.36
17	0.0162	192.88
18	0.0149	192.90
19	0.0148	192.50
[32m[I 2023-04-01 21:02:17,723][0m Trial 43 finished with value: 0.01479476410895586 and parameters: {'optimizer': 'Adam', 'lr': 0.0005984620985517595, 'beta_1': 0.8795377815271543, 'beta_2': 0.964238980908284, 'eps': 2.0847422093719875e-08}. Best is trial 23 with value: 0.013687564991414547.[0m
Epoch	Bg_Error	Time
0	0.3614	194.15
1	0.0546	193.82
2	0.0341	193.18
3	0.0269	193.52
4	0.0252	193.02
5	0.0238	193.08
6	0.0209	192.95
7	0.0210	193.00
8	0.0191	192.78
9	0.0200	192.91
10	0.0181	192.76
11	0.0175	193.01
12	0.0168	192.92
13	0.0168	192.65
14	0.0161	192.81
15	0.0154	192.73
16	0.0152	192.83
17	0.0147	192.52
18	0.0150	192.65
19	0.0145	192.77
[32m[I 2023-04-01 22:06:38,055][0m Trial 44 finished with value: 0.014522838406264782 and parameters: {'optimizer': 'Adam', 'lr': 0.000330553114032759, 'beta_1': 0.8816769304819381, 'beta_2': 0.9395596599882187, 'eps': 2.916159675148112e-08}. Best is trial 23 with value: 0.013687564991414547.[0m
Epoch	Bg_Error	Time
0	0.2700	193.79
1	0.0485	193.60
2	0.0344	193.55
3	0.0288	193.05
4	0.0267	193.09
5	0.0242	193.17
6	0.0229	192.81
7	0.0221	193.22
8	0.0215	192.96
9	0.0201	193.11
10	0.0198	192.76
[32m[I 2023-04-01 22:45:16,172][0m Trial 45 pruned. [0m
Epoch	Bg_Error	Time
0	0.1891	192.34
1	0.0413	192.42
2	0.0336	192.61
3	0.0305	192.34
4	0.0277	192.43
5	0.0251	192.19
6	0.0238	192.25
7	0.0230	192.52
8	0.0222	192.34
[32m[I 2023-04-01 23:17:19,757][0m Trial 46 pruned. [0m
Epoch	Bg_Error	Time
0	0.4336	194.23
1	0.1166	193.49
2	0.0370	193.50
3	0.0296	193.54
4	0.0252	193.33
5	0.0229	193.50
6	0.0219	193.02
7	0.0210	192.39
8	0.0187	192.52
9	0.0186	192.72
10	0.0174	192.80
11	0.0172	193.10
12	0.0161	193.01
13	0.0162	192.85
14	0.0164	192.47
15	0.0158	193.23
16	0.0151	193.38
17	0.0151	193.62
18	0.0143	193.32
19	0.0142	193.14
[32m[I 2023-04-02 00:21:43,288][0m Trial 47 finished with value: 0.014241940341889858 and parameters: {'optimizer': 'Adam', 'lr': 0.00021427420034597457, 'beta_1': 0.8578012393939218, 'beta_2': 0.9877153600962243, 'eps': 6.343257866294951e-08}. Best is trial 23 with value: 0.013687564991414547.[0m
Epoch	Bg_Error	Time
0	0.3651	193.94
1	0.3404	193.52
2	0.0541	192.44
3	0.0304	192.31
4	0.0257	192.29
5	0.0235	192.40
6	0.0224	192.74
7	0.0205	192.31
8	0.0201	192.34
9	0.0183	192.68
10	0.0186	192.07
11	0.0180	192.22
12	0.0173	192.21
13	0.0173	192.57
14	0.0163	192.59
15	0.0157	192.14
16	0.0163	192.35
17	0.0158	192.47
18	0.0152	192.14
19	0.0148	192.29
[32m[I 2023-04-02 01:25:53,577][0m Trial 48 finished with value: 0.014772258698940277 and parameters: {'optimizer': 'Adam', 'lr': 0.0006159326361665027, 'beta_1': 0.8873010695550863, 'beta_2': 0.985214277705247, 'eps': 9.674061003876683e-08}. Best is trial 23 with value: 0.013687564991414547.[0m
Epoch	Bg_Error	Time
0	0.4772	194.34
1	0.4031	194.21
2	0.3565	194.33
3	0.3315	194.04
4	0.3298	193.89
5	0.3435	194.08
6	0.3613	194.26
7	0.3664	194.37
8	0.3680	194.09
[32m[I 2023-04-02 01:58:14,843][0m Trial 49 pruned. [0m
Study statistics: 
Number of finished trials:  50
Number of pruned trials:  29
Number of complete trials:  21
Best trial:
Value:  0.013687564991414547
Params: 
optimizer: Adam
lr: 0.0002779352994832484
beta_1: 0.8977353726803788
beta_2: 0.9989941433614081
eps: 4.167397591602941e-08
